source_node	source_type	edge_type	target_node	target_type
epinephrine	drug	interacts_with	ADRA1D	gene
norepinephrine	drug	interacts_with	ADRA1D	gene
clozapine	drug	interacts_with	ADRA1D	gene
terazosin	drug	interacts_with	ADRA1D	gene
indoramin	drug	interacts_with	ADRA1D	gene
silodosin	drug	interacts_with	ADRA1D	gene
risperidone	drug	interacts_with	ADRA1D	gene
mianserin	drug	interacts_with	ADRA1D	gene
oxymetazoline	drug	interacts_with	ADRA1D	gene
cyproheptadine	drug	interacts_with	ADRA1D	gene
tamsulosin	drug	interacts_with	ADRA1D	gene
doxazosin	drug	interacts_with	ADRA1D	gene
phentolamine	drug	interacts_with	ADRA1D	gene
prazosin	drug	interacts_with	ADRA1D	gene
methoxamine	drug	interacts_with	ADRA1D	gene
dapiprazole	drug	interacts_with	ADRA1D	gene
labetalol	drug	interacts_with	ADRA1D	gene
alfuzosin	drug	interacts_with	ADRA1D	gene
spiperone	drug	interacts_with	ADRA1D	gene
ritanserin	drug	interacts_with	ADRA1D	gene
BMY-7378	drug	interacts_with	ADRA1D	gene
spiroxatrine	drug	interacts_with	ADRA1D	gene
NAN 190	drug	interacts_with	ADRA1D	gene
α-methylnoradrenaline	drug	interacts_with	ADRA1D	gene
WB-4101	drug	interacts_with	ADRA1D	gene
epinephrine	drug	interacts_with	ADRA1D	gene
norepinephrine	drug	interacts_with	ADRA1D	gene
clozapine	drug	interacts_with	ADRA1D	gene
terazosin	drug	interacts_with	ADRA1D	gene
indoramin	drug	interacts_with	ADRA1D	gene
silodosin	drug	interacts_with	ADRA1D	gene
risperidone	drug	interacts_with	ADRA1D	gene
mianserin	drug	interacts_with	ADRA1D	gene
oxymetazoline	drug	interacts_with	ADRA1D	gene
cyproheptadine	drug	interacts_with	ADRA1D	gene
tamsulosin	drug	interacts_with	ADRA1D	gene
doxazosin	drug	interacts_with	ADRA1D	gene
phentolamine	drug	interacts_with	ADRA1D	gene
prazosin	drug	interacts_with	ADRA1D	gene
methoxamine	drug	interacts_with	ADRA1D	gene
dapiprazole	drug	interacts_with	ADRA1D	gene
labetalol	drug	interacts_with	ADRA1D	gene
alfuzosin	drug	interacts_with	ADRA1D	gene
spiperone	drug	interacts_with	ADRA1D	gene
ritanserin	drug	interacts_with	ADRA1D	gene
BMY-7378	drug	interacts_with	ADRA1D	gene
spiroxatrine	drug	interacts_with	ADRA1D	gene
NAN 190	drug	interacts_with	ADRA1D	gene
α-methylnoradrenaline	drug	interacts_with	ADRA1D	gene
WB-4101	drug	interacts_with	ADRA1D	gene
ibrutinib	drug	interacts_with	BLK	gene
ibrutinib	drug	interacts_with	BLK	gene
ibrutinib	drug	interacts_with	BLK	gene
ibrutinib	drug	interacts_with	BLK	gene
mitotane	drug	interacts_with	CYP11A1	gene
sitagliptin	drug	interacts_with	DPP4	gene
vildagliptin	drug	interacts_with	DPP4	gene
linagliptin	drug	interacts_with	DPP4	gene
saxagliptin	drug	interacts_with	DPP4	gene
alogliptin	drug	interacts_with	DPP4	gene
