,Pickup_date,Pickup_Count
0,2016-01-01 00:00:00,19865
1,2016-01-01 01:00:00,24376
2,2016-01-01 02:00:00,24177
3,2016-01-01 03:00:00,21538
4,2016-01-01 04:00:00,15665
5,2016-01-01 05:00:00,9971
6,2016-01-01 06:00:00,8022
7,2016-01-01 07:00:00,6856
8,2016-01-01 08:00:00,6482
9,2016-01-01 09:00:00,6386
10,2016-01-01 10:00:00,6887
11,2016-01-01 11:00:00,7655
12,2016-01-01 12:00:00,9074
13,2016-01-01 13:00:00,9155
14,2016-01-01 14:00:00,10482
15,2016-01-01 15:00:00,10934
16,2016-01-01 16:00:00,11036
17,2016-01-01 17:00:00,11615
18,2016-01-01 18:00:00,11867
19,2016-01-01 19:00:00,11622
20,2016-01-01 20:00:00,10715
21,2016-01-01 21:00:00,10546
22,2016-01-01 22:00:00,10956
23,2016-01-01 23:00:00,10868
24,2016-01-02 00:00:00,9344
25,2016-01-02 01:00:00,8518
26,2016-01-02 02:00:00,6556
27,2016-01-02 03:00:00,5246
28,2016-01-02 04:00:00,5159
29,2016-01-02 05:00:00,4891
30,2016-01-02 06:00:00,5496
31,2016-01-02 07:00:00,6212
32,2016-01-02 08:00:00,7119
33,2016-01-02 09:00:00,8886
34,2016-01-02 10:00:00,9825
35,2016-01-02 11:00:00,10837
36,2016-01-02 12:00:00,10958
37,2016-01-02 13:00:00,10687
38,2016-01-02 14:00:00,10601
39,2016-01-02 15:00:00,10859
40,2016-01-02 16:00:00,11742
41,2016-01-02 17:00:00,13504
42,2016-01-02 18:00:00,14201
43,2016-01-02 19:00:00,14687
44,2016-01-02 20:00:00,13773
45,2016-01-02 21:00:00,13662
46,2016-01-02 22:00:00,14341
47,2016-01-02 23:00:00,14656
48,2016-01-03 00:00:00,13384
49,2016-01-03 01:00:00,11667
50,2016-01-03 02:00:00,9370
51,2016-01-03 03:00:00,8229
52,2016-01-03 04:00:00,7379
53,2016-01-03 05:00:00,5694
54,2016-01-03 06:00:00,5818
55,2016-01-03 07:00:00,6047
56,2016-01-03 08:00:00,6704
57,2016-01-03 09:00:00,8733
58,2016-01-03 10:00:00,10568
59,2016-01-03 11:00:00,11600
60,2016-01-03 12:00:00,12238
61,2016-01-03 13:00:00,10712
62,2016-01-03 14:00:00,11139
63,2016-01-03 15:00:00,11002
64,2016-01-03 16:00:00,11383
65,2016-01-03 17:00:00,11696
66,2016-01-03 18:00:00,11820
67,2016-01-03 19:00:00,10666
68,2016-01-03 20:00:00,9773
69,2016-01-03 21:00:00,9253
70,2016-01-03 22:00:00,8982
71,2016-01-03 23:00:00,7259
72,2016-01-04 00:00:00,5197
73,2016-01-04 01:00:00,3808
74,2016-01-04 02:00:00,2731
75,2016-01-04 03:00:00,2697
76,2016-01-04 04:00:00,4280
77,2016-01-04 05:00:00,6845
78,2016-01-04 06:00:00,10229
79,2016-01-04 07:00:00,16608
80,2016-01-04 08:00:00,19282
81,2016-01-04 09:00:00,15671
82,2016-01-04 10:00:00,11829
83,2016-01-04 11:00:00,10322
84,2016-01-04 12:00:00,10665
85,2016-01-04 13:00:00,10428
86,2016-01-04 14:00:00,11443
87,2016-01-04 15:00:00,11758
88,2016-01-04 16:00:00,12421
89,2016-01-04 17:00:00,14693
90,2016-01-04 18:00:00,16341
91,2016-01-04 19:00:00,15265
92,2016-01-04 20:00:00,14006
93,2016-01-04 21:00:00,12685
94,2016-01-04 22:00:00,11591
95,2016-01-04 23:00:00,9096
96,2016-01-05 00:00:00,5846
97,2016-01-05 01:00:00,4229
98,2016-01-05 02:00:00,2801
99,2016-01-05 03:00:00,2513
100,2016-01-05 04:00:00,3718
101,2016-01-05 05:00:00,5697
102,2016-01-05 06:00:00,11640
103,2016-01-05 07:00:00,18511
104,2016-01-05 08:00:00,21886
105,2016-01-05 09:00:00,17947
106,2016-01-05 10:00:00,13592
107,2016-01-05 11:00:00,12386
108,2016-01-05 12:00:00,11907
109,2016-01-05 13:00:00,11477
110,2016-01-05 14:00:00,12074
111,2016-01-05 15:00:00,12702
112,2016-01-05 16:00:00,13087
113,2016-01-05 17:00:00,16195
114,2016-01-05 18:00:00,17550
115,2016-01-05 19:00:00,15525
116,2016-01-05 20:00:00,13364
117,2016-01-05 21:00:00,13650
118,2016-01-05 22:00:00,11524
119,2016-01-05 23:00:00,8636
120,2016-01-06 00:00:00,5760
121,2016-01-06 01:00:00,4019
122,2016-01-06 02:00:00,2965
123,2016-01-06 03:00:00,2606
124,2016-01-06 04:00:00,3575
125,2016-01-06 05:00:00,5297
126,2016-01-06 06:00:00,9794
127,2016-01-06 07:00:00,18642
128,2016-01-06 08:00:00,20082
129,2016-01-06 09:00:00,16714
130,2016-01-06 10:00:00,12845
131,2016-01-06 11:00:00,11703
132,2016-01-06 12:00:00,11349
133,2016-01-06 13:00:00,10939
134,2016-01-06 14:00:00,11499
135,2016-01-06 15:00:00,11834
136,2016-01-06 16:00:00,12160
137,2016-01-06 17:00:00,14718
138,2016-01-06 18:00:00,16154
139,2016-01-06 19:00:00,15134
140,2016-01-06 20:00:00,14358
141,2016-01-06 21:00:00,13561
142,2016-01-06 22:00:00,12391
143,2016-01-06 23:00:00,9591
144,2016-01-07 00:00:00,6278
145,2016-01-07 01:00:00,4365
146,2016-01-07 02:00:00,3125
147,2016-01-07 03:00:00,2740
148,2016-01-07 04:00:00,3601
149,2016-01-07 05:00:00,5375
150,2016-01-07 06:00:00,9489
151,2016-01-07 07:00:00,17915
152,2016-01-07 08:00:00,20051
153,2016-01-07 09:00:00,16571
154,2016-01-07 10:00:00,12865
155,2016-01-07 11:00:00,11646
156,2016-01-07 12:00:00,11139
157,2016-01-07 13:00:00,10476
158,2016-01-07 14:00:00,11591
159,2016-01-07 15:00:00,12096
