name,school_rating,size,reduced_lunch,state_percentile_16,state_percentile_15,stu_teach_ratio,school_type,avg_score_15,avg_score_16,full_time_teachers,percent_black,percent_white,percent_asian,percent_hispanic
Allendale Elementary School,5,851,10,90.2,95.8,15.7,Public,89.4,85.2,54,2.9,85.5,1.6,5.6
Anderson Elementary,2,412,71,32.8,37.3,12.8,Public,43,38.3,32,3.9,86.7,1,4.9
Avoca Elementary,4,482,43,78.4,83.6,16.6,Public,75.7,73,29,1,91.5,1.2,4.4
Bailey Middle,0,394,91,1.6,1,13.1,Public Magnet,2.1,4.4,30,80.7,11.7,2.3,4.3
Barfield Elementary,4,948,26,85.3,89.2,14.8,Public,81.3,79.6,64,11.8,71.2,7.1,6
Barkers Mill Elementary School,4,893,48,78.1,76.4,13.9,Public,69.4,72.3,64,28.6,39.9,2.2,17.8
Barksdale Elementary,4,580,58,83.2,74.6,13.8,Public,68,76.1,42,27.4,59.5,0.5,6.6
Beech Elementary,5,612,16,95.2,93.4,15.6,Public,85.9,90.3,39,4.2,90.5,0.3,3.1
Beech Senior High School,4,1274,21,82.5,77.9,14.9,Public,67.2,69.3,85,13.8,79.7,1.4,3.7
Bellevue Middle,3,680,50,53,55.5,16.5,Public Magnet,55.8,53.3,41,24.3,61.8,5.6,6.6
Bellshire Elementary,0,539,75,3.5,2.9,14.5,Public Magnet,6.3,8.3,37,83.7,8.7,0.4,5.4
Benny C. Bills Elementary School,3,705,67,64.6,63.8,13,Public,59.9,60.6,54,26,58,0.3,12.9
Black Fox Elementary,3,830,72,52.1,62.8,13.8,Public,58.8,50.5,60,29.4,36.5,7.3,19.2
Blackman Elementary School,5,880,25,92.4,90.3,14.4,Public,82.5,87,61,17,67.3,6.9,5.7
Blackman High School,4,2021,25,84.8,66.2,17.4,Public,62.1,72.5,116,19.6,67.7,5.2,5.8
Blackman Middle School,4,1212,30,87.2,87.1,16.8,Public,77.2,78.3,72,14.6,73.2,4.8,5.7
Bluff City Elementary,2,489,66,36,54.1,14.3,Public,53.2,41,34,0,96.3,0,1.4
Bluff City Middle School,3,361,63,59.3,59.2,15,Public,58.1,57.4,24,1.1,97.5,0,0
Boones Creek Middle School,4,310,61,81.4,92.4,14.7,Public,82.2,72.8,21,0.6,94.8,0.6,2.9
Bradley Academy - An Arts Integrated School,1,453,84,11.3,13.9,11.6,Public,22.2,17.3,39,37.3,23.8,1.1,29.6
Brentwood High School,5,1689,4,96.3,97.3,18.7,Public,89.8,87.6,90,3.1,83.8,6.9,3.6
Brentwood Middle School,5,1261,3,98,98.2,18.5,Public,91.1,91.7,68,3.2,83.3,6.7,2.8
Brown's Chapel Elementary School,4,694,37,88.2,82.5,14.7,Public,74.7,82.8,47,9.9,79,2.4,5.5
Buchanan Elementary,4,460,44,82.2,83.9,13.1,Public,76,75.1,35,2.8,84.6,5.7,4.8
Buena Vista Elementary,0,365,81,1.3,0.8,13.5,Public Magnet,1.7,4.5,27,93.4,1.1,0.3,1.4
Byars Dowdy Elementary,3,616,70,51.9,55.5,13.6,Public,54.5,50.5,45,12.8,57.3,3.1,24.5
Byrns L Darden Elementary,2,631,74,45.3,18.7,11.6,Public,26.8,46.3,54,32.8,40.3,0.3,18.4
Caldwell Elementary,0,279,83,7.5,3.9,10.7,Public Magnet,7.9,12.6,26,92.5,3.6,0,2.5
Cameron College Preparatory,0,587,90,7.7,16,13.9,Public Charter,25.8,13.2,42,23.2,25.2,1.9,49.6
Carmel Elementary,5,583,21,93.7,,14.9,Public,,89,39,3.4,79.6,1.9,8.9
Carroll Oakland Elementary,2,652,42,31.2,46.2,15.9,Public,48.8,36.7,41,0.9,87.7,0.3,7.8
Carter-Lawrence Elementary,0,390,85,6.6,10.5,13.4,Public Magnet,16.2,11.7,29,79,13.6,0.8,6.2
Cason Lane Academy,3,723,45,51.5,61.2,13.3,Public,57.8,50.4,54,16.3,56.4,9.5,10.1
Castle Heights Elementary,4,628,53,72.8,81.2,16.5,Public,73.6,67.3,38,17.7,69.1,2.4,9.4
Centennial Elementary,4,750,60,83.9,79.8,13.8,Public,71.9,77.5,54,5.2,82.7,0.3,5.1
Centennial High School,4,1716,24,80.2,91.6,17.6,Public,79.4,68.2,97,13.9,65.7,3.4,13.8
Central Elementary,1,284,79,28.4,12.9,12.9,Public,20.3,35,22,0.4,96.5,0,2.1
Chapman's Retreat Elementary,4,733,13,85.2,89.6,15.2,Public,81.6,79.8,48,4.1,83.4,1.4,6.8
Charlotte Park Elementary,1,457,79,18.6,14,15.2,Public,22.3,26.1,30,19.7,33.7,10.1,33.9
